,id,title,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,month,year,day_of_week,weighted_vote,popularity_category
2379,41402,Let Me In,Drama,16.39,Hammer Film Productions,2010-10-01,20000000.0,24145613.0,116.0,6.8,1795.0,10,2010,4,6.692665474060823,High
2380,592863,Respect,Drama,16.387,Metro,2021-08-12,15000000.0,31217372.0,145.0,6.8,320.0,8,2021,3,6.572727272727272,High
2381,1537,Changing Lanes,Thriller,16.382,Paramount,2002-04-07,45000000.0,94935764.0,99.0,6.2,916.0,4,2002,6,6.356576200417537,High
2382,2100,The Last Castle,Action,16.382,DreamWorks Pictures,2001-10-19,72000000.0,27642707.0,131.0,7.116,1053.0,10,2001,4,6.81595129079396,High
2383,9913,The Skeleton Key,Drama,16.379,Universal Pictures,2005-07-29,43000000.0,93983911.0,104.0,6.6,1763.0,7,2005,4,6.563807455664133,High
2384,13499,"Yours, Mine & Ours",Comedy,16.37,Paramount,2005-11-23,45000000.0,72028752.0,90.0,6.1,736.0,11,2005,2,6.330414746543779,High
2385,8999,Derailed,Drama,16.368,Di Bonaventura Pictures,2005-11-11,22000000.0,57479076.0,108.0,6.3,884.0,11,2005,4,6.40615711252654,High
2386,271674,Suite Française,Drama,16.366,Canal+,2015-03-12,15000000.0,9104716.0,103.0,7.328,1012.0,3,2015,3,6.916469184890657,High
2387,36419,After.Life,Drama,16.361,Harbor Light Entertainment,2009-11-07,4500000.0,3606395.0,104.0,6.2,897.0,11,2009,5,6.358144438587243,High
2388,243684,"Men, Women & Children",Drama,16.355,Right of Way Films,2014-10-17,15000000.0,461162.0,116.0,6.5,801.0,10,2014,4,6.5,High
2389,10677,Dirty Dancing: Havana Nights,Drama,16.351,Miramax,2004-02-27,25000000.0,27685016.0,86.0,6.4,571.0,2,2004,4,6.463653723742839,High
2390,8923,Green Street Hooligans,Crime,16.341,OddLot Entertainment,2005-09-09,15000000.0,3154346.0,109.0,7.253,2047.0,9,2005,4,7.005871677059403,High
2391,797838,Firebird,Drama,16.328,The Factory,2021-11-25,15000000.0,253583.0,107.0,6.898,54.0,11,2021,3,6.520390891840608,High
2392,63492,What's Your Number?,Comedy,16.327,Regency Enterprises,2011-09-30,20000000.0,30426096.0,106.0,6.5,2094.0,9,2011,4,6.5,High
2393,556984,The Trial of the Chicago 7,Drama,16.317,DreamWorks Pictures,2020-09-25,35000000.0,107423.0,130.0,7.7,2574.0,9,2020,4,7.3642417459429215,High
2394,409582,7 Guardians of the Tomb,Action,16.316,Arclight Films,2018-01-19,15000000.0,7910928.0,90.0,5.5,164.0,1,2018,4,6.359106529209622,High
2395,2312,In the Name of the King: A Dungeon Siege Tale,Adventure,16.311,Boll Kino Beteiligungs GmbH & Co. KG,2007-11-29,60000000.0,13100000.0,127.0,4.7,696.0,11,2007,3,5.761320754716982,High
2396,7364,Sahara,Action,16.305,Paramount,2005-04-06,130000000.0,119269486.0,124.0,5.9,1239.0,4,2005,2,6.167976775346137,High
2397,1535,Spy Game,Action,16.304,Universal Pictures,2001-11-18,115000000.0,143049560.0,126.0,6.9,1786.0,11,2001,6,6.756424982053122,High
2398,8326,Holes,Adventure,16.301,Phoenix Pictures,2003-04-18,20000000.0,71406573.0,117.0,6.829,1167.0,4,2003,4,6.677177203507153,High
2399,9029,What Happens in Vegas,Comedy,16.3,20th Century Fox,2008-05-07,35000000.0,219375562.0,99.0,6.1,2681.0,5,2008,2,6.20866612333605,High
2400,95608,The Only Living Boy in New York,Drama,16.292,Bona Fide Productions,2017-07-27,15000000.0,2550321.0,88.0,6.3,269.0,7,2017,3,6.457604412923562,High
